SMILES,P(Act)
C[C@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,3.591760035
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,3.829999997
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.949999982
CC(=O)c1ccc(OCCCN2CC[C@H](N)C2)cc1,4.022276395
C[C@@H](c1cccnc1)c1c(CCN(C)C)sc2ccccc12,4.102372909
CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,4.330000038
N#CC[C@@H](N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,4.33999999
CN1[C@H](CC(=O)c2ccccc2)CCC[C@@H]1C[C@H](O)c1ccccc1,4.349999992
NCCC(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,4.549999989
CCCCCC(=O)c1ccc(OCCCN2CCN(S(C)(=O)=O)CC2)cc1,4.579999999
CC(c1ccncc1)c1c(CCN(C)C)sc2ccccc12,4.638272164
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)CC2)cc1,4.670000018
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](N)C(C)C)CC2)cc1,4.719999936
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,4.7500001
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](Cc3ccncc3)NC(=O)OC(C)(C)C)CC2)cc1,4.769999911
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](N)C(C)C)CC2)cc1,4.779999976
CNC1CN(c2nc(N)nc3cc(C4CCCC4)cnc23)C1,4.779999976
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,4.784864955
CC(C)(C)OC[C@@H](N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,4.790000026
Cc1ccccc1S(=O)(=O)N[C@H]1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)C1,4.795880017
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](N)CC(C)C)CC2)cc1,4.839999931
N[C@H](CC1CCCCC1)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,4.839999931
CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)c3ccc(C#N)cc3)C2)cc1,4.886056648
N=C(NCCCc1c[nH]cn1)NC(=O)CC(c1ccccc1)c1nccs1,4.88941029
CCCCCC(=O)c1ccc(OCCCN2CCN(S(=O)(=O)C(C)C)CC2)cc1,4.950000176
CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)c3csc(-c4cccnc4)n3)C2)cc1,4.958607315
C=CCn1c(=N)n(CC(=O)c2ccccc2)c2ccccc21,4.970000124
N[C@@H](C(=O)O)C1Cc2ccccc2C1,4.970000124
O=C(c1ccc(OCCCN2CCN(C(=O)[C@@H]3CCN3)CC2)cc1)C1CC1,5
OC12CC3CC(CC(C3)N1Cc1ccccc1)C2,5
O=C(NC1CCCC1)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,5.016824928
O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3F)C2)cc1)C1CC1,5.026872146
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](Cc3ccncc3)NC(=O)OC(C)(C)C)CC2)cc1,5.03000014
N[C@H](Cc1ccc(F)cc1)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,5.03000014
N=C(NCCCc1c[nH]cn1)NC(=O)CCc1ccccc1,5.036212173
CC(C(=O)NC(=N)NCCCc1c[nH]cn1)c1ccccc1,5.055517328
Cc1[nH]cnc1CSCC(=O)NC(=N)NCCCc1c[nH]cn1,5.070581074
C[C@H]1CCCN1C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,5.154281982
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](C)NC(=O)OC(C)(C)C)CC2)cc1,5.169999984
COc1ccccc1N1CCN(Cc2cc(CN3CCOCC3)c3cccccc2-3)CC1,5.187086643
CC(CC(=O)NC(=N)NCCCc1c[nH]cn1)c1cccs1,5.193820026
OC(CNC1CC1)Cn1c2ccccc2c2ccccc21,5.200000237
N=C(NCCCc1c[nH]cn1)NC(=O)CC(c1ccc(F)c(F)c1)c1ncc[nH]1,5.207608311
N#Cc1ccc(-c2ccc(OCCCN3CC[C@H](O)C3)cc2)cc1,5.250000251
COc1cc(CN[C@H]2C3C4CC5C6C4CC3C6C52)cc(OC)c1OC,5.254222782
Cc1ccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)cc1,5.259637311
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,5.2599999
C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,5.297594023
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(N)=O)(c4ccccc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,5.300899727
C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42,5.324588306
O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3Cl)C2)cc1)C1CC1,5.346787486
N=C(NCCCc1c[nH]cn1)NC(=O)CC1CCCCC1,5.366531544
COc1ccc(CNc2cc(-c3ccccc3)nc(N3CCN(C)CC3)n2)cc1,5.380000399
c1ccc2c(NCCCN3CCCC3)c3c(nc2c1)CCCCC3,5.388807939
COc1ccc(CCN2C3C4C5CC6C7C5C3C7C2(O)C64)cc1,5.415781888
CN[C@@H]1CCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,5.430000268
CCN(CC)CCCCCCn1c2ccccc2c(=O)c2ccccc21,5.443697499
CCOc1cc(CN2CCC(Nc3nc4ccccc4o3)CC2)cc(OC2CCOCC2)c1,5.443697499
c1ccc2c(N3CCN(C4CCCC4)CC3)ncnc2c1,5.48999954
CS(=O)(=O)c1cccc(C(=O)N2CCN(c3ccc(OCCCN4CCCCC4)cc3)C(=O)C2)c1.O=CO,5.499999679
Cc1cc(-c2nc3c4c(ccc3o2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)CC4)n(C)n1,5.499999679
Cc1ncoc1-c1nnc(SCCCN2CCc3nc4cc(C(F)(F)F)ccn4c3CC2)n1C,5.499999679
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,5.598254918
CC(C)N1CCC(Oc2ccc(N3CCN(C(=O)c4cc(F)cc(F)c4)CC3=O)cc2)CC1.O=CO,5.599999383
C[C@@H]1CCCN1CCCOc1ccc(N2CCN(C(=O)c3ccc(F)cc3F)CC2=O)cc1.O=CO,5.599999383
Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6nc(C(F)(F)F)oc6c(C)c5CC4)n3C)cccc2n1,5.599999383
Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,5.599999383
Cc1nc2ccc3c(c2s1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,5.599999383
O=C(c1cc(F)cc(F)c1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1.O=CO,5.599999383
O=C(c1cc(F)cc(F)c1)N1CCN(c2ccc(OCCCN3CCCCCC3)cc2)C(=O)C1.O=CO,5.599999383
O=C(c1ccc(F)cc1)N1CCN(c2ccc(OCCCN3CCCCCC3)cc2)C(=O)C1.O=CO,5.599999383
O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1,5.599999383
c1ccc(N2CCN(CC3CCCCN3)C2)cc1,5.599999383
Fc1cccc(CCN[C@H]2C3C4CC5C6C4CC3C6C52)c1,5.624153564
C[C@H]1CC[C@H](C)N1CCCOc1ccc(-c2ccc(C(=O)N3CCOCC3)cc2)cc1,5.629999781
CNCC(O)CN1c2ccccc2C2CCCCC21,5.639999555
C[C@H]1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1.O=CO,5.700000504
Cc1ccc(C(=O)N2CCN(c3ccc(OCCCN4CCCCC4)cc3)C(=O)C2)cc1,5.700000504
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(C(F)(F)C(F)(F)F)nc6c5CC4)n3C)cccc2n1,5.700000504
Cc1ncoc1-c1nnc(SCCCN2CCc3cc4c(cc3CC2)N(C)C(=O)CO4)n1C,5.700000504
